,Nombre Entidad,Descripcion del Proceso,Tipo de Contrato,Género Representante Legal,Valor real,Valor Proyectado,Duración del contrato,Tamaño valor extraño,veces la predicción,URLProceso,similarity
260712,Universidad Pontificia Bolivariana,Profesional en Comunicación Social,Suministros,Mujer,31.200000000000003,20.007158069792442,324 Dia(s),0.3587449336604987,1.5594418703127524,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6241453&isFromPublicArea=True&isModal=true&asPopupView=true,0.32107067108154297
718950,ADRES,"Prestar servicios profesionales para diseñar la estrategia de comunicación gráfica y
audiovisual; así como la producción y realización de contenidos audiovisuales;
multimedia y gráficos de la entidad. ID 322",Prestación de servicios,Hombre,69.675721,44.449185255593946,316 Dia(s),0.3620563286945542,1.5675365161216601,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5602394&isFromPublicArea=True&isModal=true&asPopupView=true,0.33133789896965027
715069,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE),"FORT_DIFUSION_2024_SAGCCE Prestación de servicios profesionales para la creación;
edición y publicación de los contenidos requeridos para transmitir información a través de
medios como: redes sociales; blogs; o plataformas online dispuestas por el DANE para la
divulgación de información pública.",Prestación de servicios,Mujer,91.99999999999999,58.65873454335828,345 Dia(s),0.36240505931132294,1.5683938754593678,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5534015&isFromPublicArea=True&isModal=true&asPopupView=true,0.3329681158065796
826839,Patrimonio Autónomo-Fondo De Seguridad Vial,PRESTAR A LA AGENCIA NACIONAL DE SEGURIDAD VIAL; EL SERVICIO DE MONITOREO DE MEDIOS Y SEGUIMIENTO DE NOTICIAS EN PRENSA; RADIO; TELEVISIÓN; PÁGINAS WEB Y REDES SOCIALES A NIVEL NACIONAL; REGIONAL Y LOCAL COM-15.,Decreto 092 de 2017,Mujer,127.00125,80.841521571434,10 Mes(es),0.363458851220488,1.5709903466843813,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7048448&isFromPublicArea=True&isModal=true&asPopupView=true,0.3185129761695862
688489,GOBIERNO DEPARTAMENTAL,PRESTAR POR SUS PROPIOS MEDIOS Y CON PLENA AUTONOMÍA LOS SERVICIOS DE UN MEDIO DE COMUNICACIÓN RADIAL Y DIGITAL PARA EL INTERCAMBIO INFORMATIVO DE LOS TEMAS INHERENTES AL FORTALECIMIENTO DE ESTRATEGIA DE DIVULGACIÓN DE LAS CAMPAÑAS VIENTES DE LA GOBERNACIÓN DEL TOLIMA,Prestación de servicios,Mujer,67.99999999999999,42.81236492875082,60 Dia(s),0.3704063981066055,1.5883261789711203,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6945186&isFromPublicArea=True&isModal=true&asPopupView=true,0.30782583355903625
825447,CONCEJO MUNICIPAL ANDALUCIA,SERVICIO DE PUBLICIDAD CREACION AUDIOVISUAL Y LOGISTICA PARA EL DESARROLLO DE ACTIVIDADES QUE SE REQUIEREN ADELANTAR A CARGO DEL CONCEJO MUNICIPAL DE ANDALUCIA.,Prestación de servicios,Hombre,24.919999999999998,15.637991442425298,255 Dia(s),0.3724722535142336,1.5935550349767396,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5774009&isFromPublicArea=True&isModal=true&asPopupView=true,0.35230523347854614
657947,CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,"PRESTACION DE SERVICIOS DE AGENCIA DE PUBLICIDAD PARA EL DISEÑO; ELABORACION Y 
DISTRIBUCION DE MATERIAL PUBLICITARIO INFORMATIVO Y DIVULGACION DE INFORMACION 
OFICIAL A TRAVES DE MEDIOS DE COMUNICACION LOCALES; REGIONALES Y 
DEPARTAMENTALES Y UNIDADES MOVILES",Prestación de servicios,Mujer,249.99999999999997,155.94382606344195,137 Dia(s),0.37622469574623213,1.6031413766794047,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6173717&isFromPublicArea=True&isModal=true&asPopupView=true,0.3670099377632141
431062,FONDO UNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,20200191499 Prestar servicios profesionales al Grupo Interno de Trabajo de Fortalecimiento al Sistema de Medios Publicos para brindar apoyo a la planeacion y ejecucion de las convocatorias audiovisuales y proyectos que contribuyan con  la promocion de contenidos multiplataforma de interés publico,Prestación de servicios,Mujer,80.92699999999998,49.81036267602035,313 Dia(s),0.38450254332892164,1.6247020831060877,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5704002&isFromPublicArea=True&isModal=true&asPopupView=true,0.3150688707828522
196029,CONCEJO MUNICIPAL DE GUARNE,"PRESTACIÓN DE SERVICIOS PARA 
CREAR ESTRATEGIAS COMUNICATIVAS Y DIVULGACIÓN DEL PLAN DE MEDIOS DE 
COMUNICACIÓN PARA EL BUEN DESEMPEÑO DEL CONCEJO MUNICIPAL",Prestación de servicios,Hombre,50.11967700000002,30.375351878286896,233 Dia(s),0.3939435827112995,1.6500114040103313,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5946772&isFromPublicArea=True&isModal=true&asPopupView=true,0.32991310954093933
461046,JEP,Prestar servicios profesionales para apoyar y acompañar a la subdirección de comunicaciones en la conceptualización; elaboración; edición y difusión de contenidos periodísticos y audiovisuales; para la divulgación en las distintas plataformas usadas por la JEP; en desarrollo de la política y estrate,Prestación de servicios,Mujer,108.95126,65.87989829087716,16 Mes(es),0.3953268801950784,1.6537860990457423,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5616891&isFromPublicArea=True&isModal=true&asPopupView=true,0.31972840428352356
